id,title,release_date,budget,revenue,vote_average,vote_count,popularity,genres,keywords
378395,Actor Martinez,2016-01-28,0,0,4.4,5,1.245,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
210079,Across the River,2013-06-21,0,0,5.234,92,4.85,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[18029, 161294]"
289723,An Act of War,2015-03-10,0,0,4.893,14,2.602,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",[]
51823,Across the Line: The Exodus of Charlie Wright,2010-12-28,0,0,5.028,36,5.152,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
445954,Acts of Vengeance,2017-10-27,10000000,320705,5.927,527,23.092,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[960, 1721, 703, 1468, 8290, 9748, 9826, 10909, 15111, 17977, 161982, 177927, 208397]"
416192,Adam K,2016-08-12,0,0,5.4,4,2.124,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[10714]
146879,Addicted to Fame,2012-11-30,0,0,4.5,2,1.181,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1740, 5565]"
183910,Adjust Your Tracking: The Untold Story of the VHS Collector,2013-04-05,5000,0,6.6,29,1.946,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4295, 11616, 18239]"
565348,Adopt a Highway,2019-11-01,0,0,6.737,118,10.716,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
429300,Adrift,2018-05-31,35000000,59945012,6.852,2474,32.04,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[544, 1459, 1422, 2215, 3180, 4459, 9672, 6611, 10349, 33494]"
287587,Adult Beginners,2014-09-08,0,108808,5.4,178,10.287,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[242, 3725, 2341, 3090]"
1048300,Adrenaline,2022-12-15,0,0,6.064,55,19.466,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
258358,Advanced Style,2014-05-09,0,0,6.8,19,1.4,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[187056]
360606,Adventures in Babysitting,2016-06-24,9000000,0,7.29,389,19.649,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[2604, 9714]"
